iter	Logloss
0	0.5345265931
1	0.5067070575
2	0.4935923047
3	0.4845372935
4	0.4787249435
5	0.4730982472
6	0.4702414501
7	0.4638074063
8	0.4611573273
9	0.4593122707
10	0.4565437078
11	0.4553723191
12	0.4542055088
13	0.4535805047
14	0.452457684
15	0.4514702997
16	0.4508077531
17	0.450257171
18	0.4497592982
19	0.449256105
20	0.4486491841
21	0.4481949326
22	0.447827607
23	0.4474850059
24	0.4465441327
25	0.4460655233
26	0.4458219796
27	0.4452538037
28	0.4449040559
29	0.4446200213
30	0.4442026397
31	0.4433596878
32	0.4428939766
33	0.4425078405
34	0.4420160249
35	0.4416134749
36	0.4411118744
37	0.4406503137
38	0.4404427582
39	0.4399387252
40	0.4394539399
41	0.4392704959
42	0.4386294712
43	0.4382778245
44	0.4377486881
45	0.4374221839
46	0.4371431854
47	0.4368637216
48	0.4366800821
49	0.436478321
50	0.4361546262
51	0.4358382169
52	0.4354146375
53	0.4349599387
54	0.4347639509
55	0.4346165589
56	0.4342110688
57	0.4339172968
58	0.4336636166
59	0.4333045652
60	0.4331010464
61	0.432730357
62	0.432193825
63	0.4319650574
64	0.431665504
65	0.4310614499
66	0.4306903366
67	0.4303006352
68	0.4301775751
69	0.4299975767
70	0.4298385734
71	0.4294074438
72	0.4292145414
73	0.4289466646
74	0.4287627636
75	0.428592243
76	0.4283496645
77	0.4280877863
78	0.4277467499
79	0.4275330346
80	0.427402375
81	0.4270825651
82	0.4268115172
83	0.4267070136
84	0.4262600532
85	0.4261000331
86	0.4259480011
87	0.4258382928
88	0.4257421222
89	0.425484614
90	0.4254084149
91	0.4252592339
92	0.4250644404
93	0.4249660399
94	0.4247492413
95	0.4245804771
96	0.4243693505
97	0.4242941714
98	0.4241593577
99	0.4239726515
100	0.4237694941
101	0.4236660588
102	0.4233498628
103	0.4232247818
104	0.4229320646
105	0.422726118
106	0.4225818462
107	0.4224985301
108	0.4223469627
109	0.4222709279
110	0.4221471309
111	0.4219039474
112	0.4215562405
113	0.4213145355
114	0.421164437
115	0.4209031827
116	0.4207795992
117	0.4206237255
118	0.4205309947
119	0.4204576053
120	0.4203489741
121	0.4201076191
122	0.4199914621
123	0.4199248845
124	0.4197586675
125	0.4194889532
126	0.4193082259
127	0.4191132252
128	0.418976059
129	0.4188700439
130	0.4187625771
131	0.418708583
132	0.418153621
133	0.4180740353
134	0.4177571297
135	0.4174962162
136	0.4174287235
137	0.4172612242
138	0.4170796603
139	0.4170274909
140	0.4169209677
141	0.4167823112
142	0.4166071167
143	0.4165098354
144	0.4163512757
145	0.4162428232
146	0.4161015506
147	0.4160580216
148	0.4159651707
149	0.4158248185
150	0.4156981619
151	0.4156074605
152	0.415527453
153	0.4154734562
154	0.4154062984
155	0.4152057627
156	0.4150760958
157	0.4150172335
158	0.4148347784
159	0.4147822944
160	0.4147293659
161	0.4145274774
162	0.4144694749
163	0.4144119782
164	0.414263103
165	0.4142040124
166	0.4141072709
167	0.4139582495
168	0.4138393964
169	0.4137630362
170	0.4136266449
171	0.4135186473
172	0.4134614754
173	0.413351487
174	0.4132928024
175	0.4131336221
176	0.413049218
177	0.4129272859
178	0.412825016
179	0.4127144913
180	0.412666207
181	0.412623463
182	0.4125878365
183	0.4125021021
184	0.4124265397
185	0.4122843491
186	0.4122118815
187	0.4119647455
188	0.4118539008
189	0.4117999307
190	0.4116155801
191	0.4114910073
192	0.4114191946
193	0.4112919327
194	0.4111999813
195	0.4111539733
196	0.4111186822
197	0.4110594697
198	0.4109685814
199	0.4108342171
